lon,lat,dist,cdist
10.7847477,34.7557813,0.9079209608099199,6006.709149496026
10.7847921,34.7557734,4.158596480533655,6010.8677459765595
10.7848472,34.7557702,5.057352331176204,6015.925098307735
10.7849024,34.7557735,5.067275027329989,6020.992373335065
10.7849565,34.7557832,5.068857360208838,6026.061230695274
10.7850084,34.7557991,5.068701752060794,6031.129932447335
10.785057,34.7558209,5.064476555448397,6036.194409002784
10.7850917,34.7558422,3.959459714577369,6040.153868717361
10.7851013,34.7558481,1.0958895382626486,6041.249758255623
10.7851405,34.7558802,5.055952393314113,6046.305710648938
10.7851738,34.7559166,5.05982334984737,6051.3655339987845
10.7852005,34.7559564,5.046841681821732,6056.412375680607
10.78522,34.755999,5.051884469130872,6061.464260149737
10.7852319,34.7560434,5.044628943415805,6066.508889093153
10.7852338,34.7560637,2.2587121142188336,6068.7676012073725
